model,test_acc,test_bal_acc,test_f1_macro,macro_roc_auc,mel_sensitivity,mel_f1,nv_f1,bkl_f1,loss_type
resnet50,0.5,0.4166666666666667,0.3645470383275261,0.5200320512820512,0.1666666666666666,0.125,0.6829268292682927,0.2857142857142857,
efficientnet_b0,0.5,0.5,0.4145299145299146,0.5965544871794871,0.5,0.4615384615384615,0.6153846153846154,0.1666666666666666,
efficientnet_b0_focal,0.5,0.5,0.4145299145299146,0.5965544871794872,0.5,0.4615384615384615,0.6153846153846154,0.1666666666666666,focal
resnet50_cb_focal,0.3125,0.48611111111111116,0.295959595959596,0.5100160256410257,0.16666666666666666,0.1,0.42424242424242425,0.36363636363636365,cb_focal
